Gene,Module
SMLR1,turquoise
TGM3,green
HHIPL2,blue
PGM5,grey
ZNF730,turquoise
GOLGA8M,grey
SHB,turquoise
KIAA1614,blue
GNAO1,blue
KCNQ4,turquoise
COL2A1,turquoise
NWD1,turquoise
COL14A1,turquoise
PGLYRP1,blue
LINC00514,grey
LOC101927412,grey
NRP1,grey
TSPYL6,yellow
RAMP1,grey
SLC28A2,blue
C2orf81,turquoise
GREM2,turquoise
TRPM4,turquoise
SLC26A4,turquoise
TSHB,grey
TNS1,brown
C5orf47,turquoise
LOC729867,grey
ANXA3,green
LRP1B,turquoise
IQCA1,turquoise
TSPAN7,blue
BNC2,grey
UMODL1,turquoise
AKR1E2,brown
GOLGA6L2,turquoise
C8orf31,grey
TRIM58,brown
SLC35F3,grey
SPOCK3,turquoise
PWAR1,turquoise
GIPC2,turquoise
CABP7,blue
OSGIN1,turquoise
LOC401127,grey
ZMYND15,blue
C6orf10,turquoise
HCN2,turquoise
PEG10,blue
MURC,blue
CAGE1,turquoise
LOC101928696,yellow
PDE6A,turquoise
SOX5,turquoise
ENPP3,salmon
ATP11A-AS1,yellow
PRB2,turquoise
ZNF683,tan
C15orf52,blue
KIR2DS4,grey
RNU11,black
UNC5C,turquoise
FAM110B,turquoise
PTPRF,brown
SLC6A13,blue
NECAB2,blue
WISP1,turquoise
CYP24A1,turquoise
ACSM6,turquoise
SAMD14,blue
NOX1,turquoise
CHDH,turquoise
HFM1,blue
CHAD,blue
NDN,grey
PPP4R4,grey
PCSK1,turquoise
LGALS2,grey
MIR4714,pink
MAGI2-AS3,grey
LAMP5,grey
MIR1273C,blue
LOC101927267,brown
C1R,blue
WDFY3-AS2,grey
ESPNP,blue
SLC38A11,grey
LOC100272216,yellow
MIR652,pink
CAPN5,brown
LOC387810,grey
DOC2A,blue
TRPM3,turquoise
SPINK2,grey
RND2,turquoise
SPARCL1,turquoise
TMEM201,blue
CDH4,blue
SSC4D,blue
LAMB2,grey
NPTX1,turquoise
GATA6,blue
PNPLA7,blue
DSCAM,turquoise
CRYM,turquoise
CTAGE6,grey
LOC646029,turquoise
ATP2B2,turquoise
AKR1C4,yellow
SLC35F1,blue
PHLDB1,turquoise
KIAA1324,pink
RPS6KA2-AS1,yellow
GOLGA8K,grey
RAB3A,blue
FGF7,turquoise
RGL3,blue
HSF2BP,turquoise
SH3BGR,grey
LINC01134,turquoise
SFTPB,turquoise
FOXRED2,blue
SLC16A11,blue
CA3,turquoise
STEAP3-AS1,turquoise
LARGE-AS1,blue
FAM26E,red
FAM72B,grey
PLEKHG4B,turquoise
LOC101928307,grey
CMTM5,red
TREML1,red
PINLYP,grey
FOXP3,blue
SH3BGRL3,magenta
SLC12A3,turquoise
SAMD13,turquoise
USP32P2,grey
SCG5,grey
ANO7,blue
E2F7,turquoise
SOX8,grey
SETSIP,grey
CAV2,red
DRD3,turquoise
TAS2R41,blue
HEPACAM2,brown
ANKRD9,brown
SPARC,red
IQCD,grey
IFIT1,green
CPS1,turquoise
CERCAM,blue
ECRP,grey
HP,salmon
TMEM171,turquoise
CENPM,grey
PRKG1,red
GS1-279B7.1,grey
HIGD1C,grey
SEPT5-GP1BB,grey
CABLES1,turquoise
RXFP1,turquoise
PLAC4,greenyellow
LOC100507195,tan
ADAMTS1,grey
STEAP1B,grey
LINC01531,blue
SCARNA6,cyan
LOC441455,grey
GUCY1A2,turquoise
IFIT1B,brown
NR4A2,blue
STK31,turquoise
TENM2,turquoise
LINC01426,turquoise
DBH,blue
DNM1,blue
LINC01013,grey
LIPE-AS1,grey
KIAA1211,blue
GRHL2,turquoise
LINC00907,turquoise
TRPC6,greenyellow
LOC100506497,yellow
LINC00504,turquoise
LOXL1,blue
HHLA2,turquoise
MKRN3,grey
HLA-DRB5,grey
SNORA47,cyan
NRIR,brown
PPP3R2,turquoise
SNORD55,magenta
G0S2,grey
AGR2,turquoise
YTHDF3-AS1,grey
RAC3,grey
CEP83-AS1,turquoise
KIAA0101,grey
MAP2K3,brown
FAM21EP,grey
NRON,yellow
RPL34,black
DEPDC1,turquoise
MYCBPAP,turquoise
MIR548AN,grey
STAU2-AS1,blue
MIR4772,green
TNKS2-AS1,grey
FSCN1,blue
LINC00665,turquoise
SLC45A3,salmon
DDAH1,turquoise
RPS3A,black
SLC13A5,blue
MIR4539,grey
PABPC3,blue
SLC16A2,turquoise
CDC25A,turquoise
LYNX1,grey
CLDN9,blue
CCDC154,blue
BPGM,brown
PGF,turquoise
DCLK2,turquoise
PTCH2,turquoise
PDGFRA,turquoise
PLTP,blue
MAMLD1,blue
A1BG-AS1,blue
CCDC83,blue
TEAD2,blue
TCTEX1D1,grey
CXCL8,black
KLRC3,tan
LINC00471,grey
GPR137C,turquoise
OR52K2,pink
ABCA17P,turquoise
ASAP1-IT2,yellow
LOC101926889,blue
LEP,turquoise
KLC3,brown
SPDYE6,blue
CCDC79,blue
CALN1,turquoise
CLU,red
CDHR1,turquoise
LBX2,blue
LOC100506207,grey
MIR3654,grey
ZNF503-AS2,turquoise
LOC100996286,purple
RLBP1,blue
OR2L1P,turquoise
TEPP,turquoise
SPINK8,grey
LRRC49,turquoise
LINC00211,green
RASA4B,blue
GDF15,blue
LOC100287036,red
RFPL1S,turquoise
FAM189B,blue
CDH6,turquoise
LINC00264,turquoise
MTSS1L,blue
PALD1,turquoise
FTH1P3,blue
RNF5P1,turquoise
SIGLEC17P,grey
CDCP1,turquoise
SLC26A5,turquoise
LOC440311,grey
TTYH1,blue
C1orf145,blue
P2RY6,turquoise
LUNAR1,grey
LINC00623,grey
DMC1,grey
KBTBD12,grey
PMP22,grey
HRASLS,grey
VIL1,red
ETV2,turquoise
PRRT2,blue
GOLGA6L9,grey
LOC101926935,turquoise
DACT3-AS1,blue
MARVELD1,turquoise
CCDC144NL,turquoise
LINC00469,grey
RNF144A-AS1,grey
MESTIT1,blue
ADM2,blue
SUSD2,blue
MIR581,yellow
MAPK8IP1,blue
HERC2P3,grey
PDIA2,blue
CXCR1,green
PRCD,turquoise
NXN,blue
ARPIN,grey
PPP1R3G,grey
PM20D1,turquoise
PPBP,red
MMEL1,blue
NEAT1,yellow
PAX8-AS1,grey
TRIM46,blue
CAMK2N1,grey
LILRA3,red
LOC101929412,pink
LINC00272,turquoise
GABRB3,turquoise
CFAP47,turquoise
DNAH8,turquoise
ADAMTS13,blue
ZNF727,grey
TEKT4P2,grey
THBS2,blue
TRIM64B,salmon
DCANP1,grey
SCARNA22,cyan
MIR591,grey
REXO1,blue
LOC101929431,grey
HMGN5,turquoise
PCDH17,turquoise
SEMA3D,turquoise
CORIN,green
SAXO1,turquoise
DMGDH,turquoise
MIR4802,blue
SNORD56B,pink
WDR64,turquoise
LOC200772,blue
MIR938,blue
LINC00593,turquoise
LINC00638,blue
AQP10,red
CNGA1,grey
ARHGEF28,tan
MST1L,blue
SNTG2,grey
SPATA32,grey
PPFIA2,turquoise
RPL13AP3,grey
AVPR1A,red
HTR2A,turquoise
PILRA,blue
TMEM253,turquoise
ADORA3,greenyellow
MIR28,grey
SALL2,blue
TMC3,turquoise
LOC391322,grey
GLTSCR1,blue
ANKRD53,blue
CNGA4,turquoise
BICC1,turquoise
C1QTNF7,pink
KIRREL3,blue
XG,turquoise
ITIH1,turquoise
ACOT11,greenyellow
CACNG1,blue
ITGA11,turquoise
LMF1-AS1,blue
LOC654841,turquoise
RPS6KA2-IT1,grey
TMPRSS5,blue
FZD4,grey
SH3BGRL2,red
FILIP1,turquoise
IGSF22,turquoise
BCL2L1,brown
LINC00222,grey
GALNT14,green
LOC101929679,blue
CLEC18B,blue
NT5M,brown
ADAMTSL5,blue
CHRND,blue
AMZ1,blue
JUND,magenta
KIF5A,turquoise
RPL31,black
GLRA1,turquoise
TIMP3,blue
MAP1A,blue
LOC440300,blue
MIR151B,blue
DDX11L9,grey
CD209,blue
LINC00960,blue
CTIF,blue
FBXO43,blue
C9orf163,grey
IQUB,turquoise
RNF217-AS1,turquoise
KLHL26,blue
MOCS1,turquoise
FLT1,turquoise
STARD13,turquoise
CYP51A1-AS1,turquoise
TTLL13P,blue
TTC25,brown
FBN1,turquoise
LOC100129924,blue
C17orf99,grey
TSPAN9,red
KTN1-AS1,turquoise
RSPH14,turquoise
TNFAIP6,green
C9orf24,blue
RAPGEF3,blue
VSIG2,blue
FSCN2,blue
MGAM2,pink
MYO16,turquoise
BMX,green
TOX2,grey
PCDHGC4,grey
LOC100507156,blue
ARMC3,red
MFI2,blue
CDC45,grey
LOC100996351,turquoise
GJB6,grey
JPH3,blue
FAT4,turquoise
PABPN1L,blue
HIF3A,turquoise
ZC2HC1B,turquoise
MEX3B,turquoise
GSTM4,grey
GSTM3,purple
CCDC103,grey
RGS7,turquoise
PLK1,blue
LINC00563,grey
SDC2,grey
C1QA,grey
EHMT1-IT1,yellow
LOC285762,blue
PRSS23,tan
ANGPTL6,turquoise
USP43,blue
LINC00940,blue
MSANTD1,blue
CTTN,red
HNF1A,blue
CA8,grey
MZB1,midnightblue
FCGR1A,green
ADGRE4P,greenyellow
CASC15,turquoise
ZNF415,grey
TNFSF12,blue
SLC36A3,turquoise
EPGN,grey
YBX3,brown
PTGR1,turquoise
ONECUT2,turquoise
ANKRD18DP,grey
RNASE2,salmon
MIR4729,blue
TECR,blue
LOC400927,blue
FGFBP2,tan
ADD3-AS1,grey
LOC100130075,turquoise
CCDC151,turquoise
NFIX,brown
SUV420H2,blue
SYNE1-AS1,greenyellow
LOC730202,grey
CHADL,blue
RUFY4,turquoise
IGF2BP2,brown
RPSAP9,grey
LEFTY1,grey
SHE,blue
AQP1,brown
VIPR2,blue
LOC101927131,blue
CABP4,blue
DLG2,turquoise
SYNE4,turquoise
CYP4F35P,yellow
VWDE,grey
LYG2,yellow
MYPOP,blue
AHDC1,blue
KLHL7-AS1,grey
SNORA74A,cyan
CA6,purple
TMPRSS3,blue
ART3,turquoise
ATG9B,blue
PIP5KL1,blue
STAB2,turquoise
CSNK1A1P1,turquoise
LINC01314,turquoise
TRPA1,yellow
RPLP1,cyan
GLUD2,grey
IFITM3,green
LINC00346,turquoise
APOA2,grey
TP63,turquoise
GYS2,turquoise
NUTM1,turquoise
PTENP1-AS,grey
NPIPB4,yellow
DMKN,turquoise
MCCD1,blue
KIF19,turquoise
NUDT3,magenta
RANBP17,grey
OXTR,red
MAN1B1-AS1,turquoise
CDCA3,grey
GGT8P,blue
LTBP1,red
PHYHD1,blue
ZNF750,yellow
SLFNL1,blue
PTPRH,turquoise
BRSK2,blue
HMMR,grey
ANGPT4,blue
TMEM132B,turquoise
ARHGEF37,brown
NR4A3,turquoise
AKR1C8P,grey
FASN,blue
HSD3B7,grey
SPTB,brown
CRB1,turquoise
AKAP6,purple
LOC440028,turquoise
SLC25A21,grey
FGF2,grey
OTX1,turquoise
ABCA9,turquoise
EIF5AL1,grey
FOLR3,green
OSBPL10-AS1,yellow
MIR548G,yellow
LRP4,turquoise
GLRX5,brown
ETNK2,grey
LZTS3,blue
CDC6,grey
LINC00884,turquoise
TIFAB,grey
TLCD2,turquoise
KAZN,blue
LOC728485,turquoise
LOC285593,grey
C12orf74,grey
MTRNR2L6,grey
SHROOM1,turquoise
ABCC3,red
ADAMTS7,turquoise
CPNE9,turquoise
MIR4458HG,grey
MIR8078,turquoise
CDKL2,turquoise
EFNA1,grey
PRSS1,grey
LOC285626,turquoise
ANKRD36BP2,black
ADAMTS14,turquoise
LOC101927839,yellow
WFS1,blue
PAQR5,turquoise
MIR6075,blue
TRAPPC3L,red
ZNF358,blue
NPR3,turquoise
RBMS3,turquoise
FAM95C,blue
SLC16A14,grey
MUSK,turquoise
FAT2,yellow
TMC2,turquoise
PZP,yellow
NRG1,grey
LOC283440,grey
PF4V1,red
ARL4D,grey
PPP1R1B,blue
CXXC4,grey
TAF1L,turquoise
DDX11L1,grey
C14orf132,grey
RDH12,grey
NCKAP5L,blue
EPHB2,blue
ZNF385C,turquoise
HEBP1,brown
PKD1L1,turquoise
SH3GL1P2,blue
IL17RE,blue
FLJ36777,grey
AOC3,blue
RTN4R,blue
MIR1206,yellow
ACCSL,grey
PPFIA3,blue
ZNF658B,grey
AR,turquoise
GATSL2,blue
PPP1R2P3,grey
SLCO5A1,grey
MIR1207,grey
TPT1,black
HLA-DQB1,grey
CBS,blue
HAS1,blue
ZNF295-AS1,grey
AJUBA,turquoise
C4orf19,yellow
LOC100507431,grey
MIR4441,blue
PIK3CD-AS2,blue
NLRP7,turquoise
RFX1,blue
RNVU1-19,grey
GRIP2,blue
CTD-2201E9.1,grey
SFN,blue
PPIL6,blue
MIR4742,grey
C5orf67,grey
IFI44L,grey
SNORD97,cyan
LOC105755953,yellow
PPAPDC3,grey
DGCR9,grey
KRT79,turquoise
LGALS17A,grey
LRRC37A3,blue
JMJD1C-AS1,blue
PPAP2B,turquoise
RS1,turquoise
ALMS1P,turquoise
KREMEN1,green
LOC100132077,grey
LOC285627,turquoise
DQX1,turquoise
MOV10L1,blue
FZD7,blue
LOC152225,grey
FCRL5,grey
PGPEP1L,turquoise
KIR3DL2,grey
WIZ,blue
ACE2,turquoise
MIR620,blue
NUDT10,turquoise
SHROOM2,turquoise
TMED11P,turquoise
MIR941-1,yellow
MIR7641-2,blue
TSPEAR-AS2,grey
EXO1,grey
ANGPTL4,blue
XCL1,grey
LCMT1-AS1,grey
GAS2L1,blue
TACR2,blue
C19orf57,grey
ZNF492,grey
LOC100506730,blue
C2orf27A,grey
IFIT3,green
SH3D19,turquoise
SNORA77,blue
SEC16B,turquoise
TMEM92,blue
TINCR,blue
EHF,turquoise
WASF3,blue
CDKN1C,grey
CDRT4,blue
KCNS2,turquoise
MRPL23-AS1,turquoise
HSD17B3,turquoise
SFTPD,turquoise
CDRT1,turquoise
LGR6,blue
GBP7,grey
RNF152,brown
JAKMIP3,blue
PROC,grey
CCDC68,turquoise
ATP2C2,blue
LIPH,red
C8orf37-AS1,turquoise
RBFOX3,blue
RETN,salmon
MYH7B,blue
SOX13,blue
TAS2R40,green
ABCC13,brown
LINC00310,yellow
PLXNB1,blue
GPR83,turquoise
FIRRE,grey
ANK1,brown
PNPLA2,magenta
PANX2,blue
ACPT,turquoise
SLC27A2,salmon
SH3RF3-AS1,blue
NPIPB3,blue
GOLGA8S,turquoise
LOC100129046,turquoise
RNF112,blue
DDI1,yellow
PDE3A,red
LOC101927692,yellow
ATP5D,blue
MTUS1,grey
MIR3605,pink
CFAP61,turquoise
LOXHD1,grey
ANAPC1P1,grey
MIR1203,yellow
CASC8,grey
GALNT5,brown
CDH2,grey
FBLN2,grey
PCDHGA11,grey
C9orf117,blue
TRHDE,grey
KCNJ14,blue
PLEKHA7,blue
PNMA5,blue
PER1,blue
ZG16B,grey
TNFRSF11A,turquoise
TGM2,brown
KCNG2,blue
C3,blue
NUMBL,blue
MTHFS,magenta
DPYSL4,blue
MIR4296,blue
NPRL3,brown
SLC5A5,turquoise
LOC101928590,grey
GPC5,turquoise
CCDC113,turquoise
SDR16C5,turquoise
LRRC32,red
LOC642846,grey
EPS8L1,blue
SUSD4,grey
PARVA,turquoise
MKX,turquoise
MARCO,grey
LOC646762,turquoise
FGFR1,blue
UPK3A,grey
LINC01271,pink
LOC100128770,pink
C1orf54,grey
SKOR1,blue
EDA2R,turquoise
CA2,brown
BAIAP2L2,blue
ADM5,blue
ZP3,grey
HSD11B1L,blue
CYYR1,turquoise
BRSK1,blue
PLSCR2,grey
CEBPE,greenyellow
FREM2,turquoise
HLA-DQB2,grey
FCGBP,blue
MIR8066,pink
ASTN2-AS1,yellow
SNORD93,turquoise
SLC25A35,blue
NUDT6,grey
SNORA38,grey
SNORA54,cyan
GJC2,blue
MIR5706,blue
GSG2,grey
LOC100505915,grey
TTYH3,blue
UBQLNL,grey
SAMD10,blue
SNORA73B,cyan
PRR25,turquoise
KL,grey
PIPOX,turquoise
GGN,blue
SP7,turquoise
JHDM1D-AS1,brown
C11orf65,grey
CACNA1F,turquoise
CPNE6,blue
KLHL35,blue
SNORD96B,grey
TRO,turquoise
DTX3,blue
C4orf48,magenta
BPI,salmon
TMOD1,brown
LOC392196,grey
SLC14A2,turquoise
RASSF6,grey
OR13A1,grey
HID1,blue
LINC00381,purple
KLF1,brown
LCTL,grey
KLHDC7A,turquoise
NEK5,turquoise
PDE11A,turquoise
FRMPD3,blue
WNT2B,turquoise
MAB21L3,pink
PLCD4,blue
ZNF497,blue
TMIGD3,grey
PRKAG3,turquoise
FBLN5,purple
A2M-AS1,yellow
EML2-AS1,grey
TBC1D16,blue
PRRT4,blue
KCNMB4,grey
IL31RA,turquoise
LRP5,blue
DLL1,grey
SLC1A7,grey
B3GNT7,turquoise
SEMA5A,turquoise
KCNAB3,blue
LOC100507634,blue
CRAT,brown
TCN1,salmon
LINC00562,turquoise
NACA2,grey
PART1,turquoise
MIR548H1,grey
SARDH,purple
NKILA,turquoise
SHANK3,turquoise
LOC101928663,grey
FAM86B2,grey
RAB13,blue
LOC102467081,grey
SNORA68,cyan
TBX6,turquoise
FOXD4,turquoise
HRH1,grey
ITGA9-AS1,grey
A2M,yellow
DPP9-AS1,blue
MIR601,grey
MIR3139,blue
CBLN3,turquoise
OR10G2,grey
ANKRD35,grey
FAM66A,grey
DNM1P46,blue
SMTN,blue
CCAT1,yellow
TEX14,turquoise
NOXO1,turquoise
SYTL4,red
FBXL16,blue
LOC284798,turquoise
DTX2P1-UPK3BP1-PMS2P11,blue
PIWIL2,blue
LOC101928043,turquoise
GBP1P1,grey
CXCL3,grey
GML,turquoise
ATP10B,turquoise
OLMALINC,grey
NR2E3,turquoise
IBA57-AS1,turquoise
C17orf107,blue
ZNF334,turquoise
SPTSSB,grey
TCL6,blue
MIR5192,blue
ANKRD1,grey
PPEF1,turquoise
SCAMP4,blue
MBD6,blue
FBRSL1,blue
OR2B6,grey
KRTCAP3,turquoise
C8G,turquoise
LOC645166,turquoise
LOC154761,grey
LINC01270,pink
ARHGEF34P,blue
PLAU,grey
HES4,magenta
TNFRSF13B,turquoise
ZNF662,purple
LAIR2,grey
PADI6,grey
RHOG,blue
LOC440700,grey
MSC-AS1,grey
SERPINC1,grey
KRT73-AS1,grey
MUC17,turquoise
RP1L1,turquoise
MIR5587,blue
PRSS37,grey
RBM38,brown
RPL7,black
ADCY5,blue
KIFC1,turquoise
LOC401052,turquoise
CLEC2L,turquoise
ZNF521,grey
TPD52L1,grey
THCAT158,grey
KIF2C,blue
SNORA70B,yellow
MIR3941,grey
RPS7,black
LOC151484,turquoise
HCG9,turquoise
TMEM200B,blue
GALNTL6,turquoise
BEND2,red
STEAP3,blue
POU5F1P3,blue
RGS9,tan
ROPN1L-AS1,grey
SNORD116-13,grey
S100A12,black
DCC,turquoise
FAM133CP,turquoise
SLC34A3,blue
EPHB4,blue
ADTRP,purple
MIR4677,grey
SEMA3A,grey
ADGRV1,turquoise
MPO,salmon
TRPM5,blue
NPIPA1,grey
ZBTB7A,blue
TRIM9,green
CD1E,grey
EPAS1,greenyellow
CAV1,turquoise
PCP4L1,blue
PPP1R32,blue
CHRNE,blue
MYO7A,blue
CHI3L1,pink
NFIC,blue
ITGB5,red
MIR548AE2,turquoise
HIST1H3J,midnightblue
LOC101926943,yellow
FERMT2,turquoise
MIR4804,grey
TTC23L,turquoise
PCDHGA8,turquoise
CLCA3P,grey
WWC1,turquoise
C9orf9,turquoise
MTMR9LP,turquoise
LDB2,turquoise
LOC407835,turquoise
SPAG5-AS1,grey
ACTRT3,grey
INHBB,green
LINC01163,turquoise
PRICKLE2,turquoise
HSF1,blue
PCDHGA1,turquoise
ACTN4,grey
TFF3,grey
LINC01023,grey
MCM10,grey
OLIG2,greenyellow
GNAI1,grey
ODF3,blue
MIR6124,pink
TPTEP1,red
DIAPH2-AS1,blue
MIR4420,blue
OMD,blue
ESPNL,turquoise
ZNF579,blue
ESAM,red
AATK,blue
ZNF578,turquoise
SPTLC3,grey
IFITM5,blue
LOC101927587,grey
C15orf53,grey
STRC,turquoise
GPR85,turquoise
PTGES3L,grey
CENPK,black
LRRC4B,blue
PCDHGB5,grey
BEND7,grey
LOC101927755,grey
POMC,grey
SIAH2,brown
C6orf165,turquoise
OR13D1,yellow
HSF4,blue
FCGR3B,green
OR2AK2,grey
SMIM10,turquoise
CCDC148,turquoise
LINC00950,blue
LBX2-AS1,turquoise
CELA1,grey
LOC103908605,grey
TCP10L,turquoise
TYMS,grey
PCDHGA12,grey
SLC52A1,blue
MYZAP,grey
RCN3,blue
CDC42BPG,blue
C19orf35,blue
RPS17,black
LAMB3,grey
GPR182,blue
PCDHGA5,grey
ZBTB12,blue
RTKN,blue
C16orf96,turquoise
COL26A1,turquoise
MIR31HG,grey
LOC101927023,grey
SELENBP1,brown
GP9,red
SMAD1-AS2,grey
A2MP1,yellow
LOC100130264,grey
PTCRA,red
AK4,turquoise
MIR4774,grey
FGFR3,turquoise
DMBT1,turquoise
MET,turquoise
FBXO15,turquoise
ACMSD,yellow
FAM189A1,turquoise
SMOX,brown
ANKHD1-EIF4EBP3,blue
MIR199A1,blue
AANAT,blue
LEF1-AS1,purple
NEURL1B,turquoise
GOLGA8O,grey
LOC283575,pink
C7orf61,blue
GRID2IP,blue
ST6GALNAC1,grey
FAM172BP,grey
SPON2,blue
SLC35G6,turquoise
MEIKIN,turquoise
PKN2-AS1,turquoise
GPSM1,blue
INSL3,grey
RAPSN,blue
XKR6,blue
PPM1J,turquoise
GTSE1,grey
TGM1,blue
C11orf16,turquoise
C18orf61,turquoise
ATP2B3,turquoise
LOC100131303,green
PKIB,grey
RAB11B,brown
SERPINB2,black
CNTN2,turquoise
MORN4,turquoise
LRRC16B,blue
PAPPA,blue
MIR640,grey
LOC731424,green
GRM4,turquoise
CACNA1D,greenyellow
CRB3,grey
AURKB,blue
TBX5,turquoise
SLC5A11,blue
LOC344887,turquoise
PTTG3P,yellow
MTUS2,turquoise
DLGAP4,blue
ENPP1,turquoise
UBE2O,brown
SERPINE2,turquoise
RUVBL1-AS1,blue
FLJ45079,turquoise
KCNA2,blue
CLHC1,grey
HMGN2P46,turquoise
MTVR2,pink
TIMD4,purple
EGF,red
FAM174B,turquoise
LRRC71,blue
P3H3,turquoise
OR52N4,grey
IQSEC2,blue
EPB42,brown
TGFB1I1,blue
PARD3B,turquoise
GABRB1,turquoise
LOC101928103,turquoise
HTR1F,blue
FABP6,grey
CBFA2T3,blue
SRGAP2-AS1,grey
COMMD6,black
PRB3,turquoise
NKD1,blue
PRKCA-AS1,yellow
CNTNAP2,grey
SCN1B,blue
TMEM147-AS1,blue
LCA5,turquoise
EPN2-IT1,blue
ZBED2,yellow
PROSER2,red
CASC2,turquoise
GAREM,turquoise
LINC00622,turquoise
GLIS2,blue
MIR5690,blue
SLFNL1-AS1,yellow
MMP1,grey
ALPL,pink
ABCG2,brown
C15orf54,red
C19orf54,blue
LINC00540,grey
ZNF702P,grey
TMEM244,grey
DDR2,turquoise
FRMD6-AS1,grey
DISC1FP1,grey
LOC101929719,yellow
INSC,grey
EXTL1,turquoise
GPR88,grey
CCDC110,turquoise
BBS5,turquoise
CLEC3B,grey
SHC3,turquoise
PCGF2,blue
ASPDH,blue
ARVCF,blue
GPR63,grey
HCN3,blue
PKHD1L1,red
RGS9BP,turquoise
LMCD1,turquoise
ATP5EP2,grey
KLHDC9,turquoise
CABP5,red
KCNK5,turquoise
RFX2,blue
DNASE1L3,grey
PPP1R9A,turquoise
FLJ23867,blue
CASC21,grey
HSPA1A,grey
CYP2J2,grey
PRKXP1,blue
FAM217A,turquoise
SNRPC,blue
CENPA,grey
ASXL3,turquoise
PDGFA,red
RGS16,turquoise
DTX1,blue
LOC101928279,grey
DNAH12,turquoise
GUSBP5,grey
SCARB1,blue
MYO1A,turquoise
P2RX2,blue
CHODL-AS1,grey
GNA12,brown
FAM19A1,black
RNF10,brown
LINC01277,grey
LINC01395,purple
BCL2A1,black
SAPCD2,grey
ADH6,turquoise
RAPGEFL1,blue
SPATA18,turquoise
CLEC11A,grey
FAM127B,blue
CRAT37,turquoise
PLEKHG5,blue
DUSP13,grey
PROB1,turquoise
GLIPR1L2,turquoise
BDNF-AS,turquoise
HPDL,turquoise
SOCS2-AS1,grey
FLVCR1-AS1,grey
GADD45G,blue
NID1,blue
RAB3C,grey
AHNAK2,blue
FAM212B-AS1,grey
HIST1H3C,midnightblue
TMPRSS11D,grey
SCN8A,turquoise
NFIA-AS1,yellow
NLRP9,blue
DCHS1,blue
HIST1H3G,midnightblue
TAF1C,blue
C20orf96,turquoise
DLG5,blue
LOC100289561,grey
FCGR1B,green
TNC,turquoise
TMEM231,grey
SPTY2D1-AS1,grey
LOC728175,blue
TGFB1,blue
RNF165,turquoise
TYRO3P,blue
PTGDS,blue
ALPK3,blue
CRISPLD2,green
PXDNL,turquoise
TDRP,red
GPR61,turquoise
PDCD6IPP2,grey
MIR4521,grey
SYBU,turquoise
TFR2,brown
CDCA2,grey
IGSF9,turquoise
CASQ1,turquoise
GSG1,turquoise
CLIC6,turquoise
RASL11B,turquoise
LOC100268168,turquoise
LOC101929505,turquoise
LOC101929694,turquoise
LINC00987,yellow
FBXO46,blue
SMAD6,turquoise
LY6G6F,red
DCLK1,turquoise
SMPD3,greenyellow
TTLL2,turquoise
CALD1,red
LOC100129461,blue
NAT14,turquoise
NTN4,grey
HTR3A,grey
GZMA,black
TMC5,brown
WFDC21P,greenyellow
B9D1,grey
LOC100506476,grey
ZNF667,grey
ADH4,turquoise
SIGLEC6,grey
OXER1,blue
MGP,grey
LINC00486,turquoise
LOC101927438,turquoise
LINC01375,grey
TP73,blue
CTNNAL1,brown
RPL39,black
CHRNA5,turquoise
KCNV2,grey
LINC00398,turquoise
SNORA63,cyan
FAAHP1,grey
LOC101927972,yellow
LINC01248,turquoise
TESC,brown
CSTF3-AS1,grey
GFI1B,brown
C14orf105,yellow
ZNF777,blue
JAKMIP2-AS1,grey
FOCAD-AS1,grey
TMEM198B,blue
DGCR6,grey
CNR1,grey
LOC101927153,green
CYP7B1,greenyellow
SNX7,turquoise
MIR4481,blue
B3GNT3,turquoise
TDRD12,grey
BIRC5,midnightblue
LINC01352,turquoise
CH17-340M24.3,grey
C9orf78,brown
GRM2,blue
PCDH18,turquoise
FGFR4,blue
KIF4A,turquoise
NIPAL1,grey
PLIN1,turquoise
LINC01187,grey
AGAP1,tan
RPL26,black
DUSP4,turquoise
CMTM8,grey
ZNF385A,blue
GPR84,grey
C19orf18,turquoise
MIR618,green
SNORD1B,grey
LINC00659,turquoise
HAAO,blue
WDR62,blue
FUT2,turquoise
C17orf53,blue
PCDHGB4,grey
SAMD12-AS1,turquoise
CATSPER2P1,turquoise
TSC22D4,blue
KIAA1671,yellow
DPPA4,grey
DDR1,blue
KCNC4,blue
LINC00656,grey
TICAM1,blue
MMP11,grey
FAM71D,turquoise
GCAT,brown
ZFX-AS1,turquoise
MESDC1,magenta
RHOBTB1,red
LOC100130705,turquoise
DCDC1,turquoise
CYGB,turquoise
SV2A,blue
TMEM17,grey
CKB,grey
LOC100288152,blue
RAB42,grey
KCNC4-AS1,turquoise
NR5A2,turquoise
NAT8L,turquoise
SYP,turquoise
DHRS11,grey
ALX4,blue
ABCD1,blue
CEP55,midnightblue
TUBB3,grey
ARHGAP31-AS1,turquoise
SLCO4A1,turquoise
MIR1296,blue
VEGFB,blue
LMO3,turquoise
LINC00669,grey
THAP8,blue
WDR86,blue
ZNF732,grey
NEFL,grey
FAM209A,turquoise
C6orf52,grey
INF2,blue
GEMIN8P4,turquoise
PPEF2,turquoise
COPZ2,grey
DDO,grey
SHROOM4,blue
LOC101929741,grey
ZDHHC11,blue
SHARPIN,brown
C16orf71,blue
SCOC-AS1,turquoise
MIR1284,blue
SSTR3,purple
MAPK12,turquoise
